id,name,original_name,director,mother_company,length_minutes,year,country,picture_format,age_limit,number_of_disks,weight,rating,num_of_rates,price,picture
42751,'just name','just orig name','just dir name','just mc name','123','2012','США| Великобритания','PAL | 1080p Full High Definition','18+',3,170.0,'4.6',74,1890.0,'./img/42751jpg'
84811,'just name','just orig name','just dir name','just mc name','97','2016','Финляндия| США','PAL | 1080p Full High Definition 16:9 (1.85:1)','6+',2,100.0,'4.4',74,349.0,'./img/84811jpg'
98524,'just name','just orig name','just dir name','just mc name','91','2017','США','PAL | 1080p High Definnition 16:9 (2.40:1)','18+',2,100.0,'4.4',48,529.0,'./img/98524jpg'
85565,'just name','just orig name','just dir name','just mc name','108','2016','США','PAL | 1080p High Definition 16:9','6+',2,100.0,'4.5',90,399.0,'./img/85565jpg'
59683,'just name','just orig name','just dir name','just mc name','94','2015','США','PAL | 1080p Full High Definition','6+',2,95.0,'4.5',63,399.0,'./img/59683jpg'
201228,'just name','just orig name','just dir name','just mc name','102','2014','США','PAL | 1080p Full High Definition 16:9 (2.35:1)','0+',2,90.0,'4.6',69,449.0,'./img/201228jpg'
64527,'just name','just orig name','just dir name','just mc name','114','2015','США','PAL | 1080р High Definition 16:9','16+',2,90.0,'4.6',41,883.0,'./img/64527jpg'
33979,'just name','just orig name','just dir name','just mc name','90','2010','США| Индия','PAL | (1.78:1) 1920 X 1080','0+',1,70.0,'4.4',46,799.0,'./img/33979jpg'
121744,'just name','just orig name','just dir name','just mc name','152','2017','США','PAL | 1080p High Definition 16:9 (2.39:1)','16+',3,115.0,'4.6',78,899.0,'./img/121744jpg'
48069,'just name','just orig name','just dir name','just mc name','116','2013','США','PAL | Letterbox 2.40:1','12+',1,70.0,'4.4',44,499.0,'./img/48069jpg'
210837,'just name','just orig name','just dir name','just mc name','86','2012','США','PAL | 1080p Full High Definition 16:9 (1.78:1)','16+',3,130.0,'4.5',147,499.0,'./img/210837jpg'
91593,'just name','just orig name','just dir name','just mc name','87','2016','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','6+',1,115.0,'4.5',54,404.0,'./img/91593jpg'
47142,'just name','just orig name','just dir name','just mc name','91','2012','США','PAL | Animorphic WideScreen 16:9 (1.78:1)','6+',1,65.0,'4.5',39,499.0,'./img/47142jpg'
119309,'just name','just orig name','just dir name','just mc name','109','2017','США','PAL | 1080p Full High Definition 16:9 (2.40:1)','16+',2,95.0,'4.6',72,899.0,'./img/119309jpg'
85568,'just name','just orig name','just dir name','just mc name','106','2016','США','PAL | 1080p High Definition 16:9 1.85:1','12+',2,100.0,'4.5',75,899.0,'./img/85568jpg'
39257,'just name','just orig name','just dir name','just mc name','112','2011','США','PAL | 1080p Full High Definition 16:9| Standart 4:3 (1|33:1)','16+',1,65.0,'4.6',37,1599.0,'./img/39257jpg'
41034,'just name','just orig name','just dir name','just mc name','45','2010','США','PAL | 1080p Full High Definition 1.78:1','0+',1,65.0,'4.5',71,279.0,'./img/41034jpg'
44740,'just name','just orig name','just dir name','just mc name','85','2012','Корея Южная| США','PAL | 1920 X 1080p 16:9','6+',1,65.0,'4.7',43,699.0,'./img/44740jpg'
85564,'just name','just orig name','just dir name','just mc name','89','2015','США','PAL | 1080p High Definition 16:9','6+',2,105.0,'4.5',72,469.0,'./img/85564jpg'
81841,'just name','just orig name','just dir name','just mc name','123','2016','США','PAL | 1080p High Definition 16:9','16+',1,115.0,'4.6',72,599.0,'./img/81841jpg'
58113,'just name','just orig name','just dir name','just mc name','102','2014','Великобритания| США| Канада| Китай','PAL | 1080p Full High Definition','12+',2,95.0,'4.4',64,399.0,'./img/58113jpg'
